,AccelerationChestX,AccelerationChestY,AccelerationChestZ,ElectrocardiogramLead1,ElectrocardiogramLead2,AccelerationAnkleX,AccelerationAnkleY,AccelerationAnkleZ,GyroAnkleX,GyroAnkleY,GyroAnkleZ,MagnetometerAnkleX,MagnetometerAnkleY,MagnetometerAnkleZ,AccelerationArmX,AccelerationArmY,AccelerationArmZ,GyroArmX,GyroArmY,GyroArmZ,MagnetometerArmX,MagnetometerArmY,MagnetometerArmZ,Label,Subject,AccelerationChestThetaXZ,AccelerationChestThetaYZ,AccelerationAnkleThetaXZ,AccelerationAnkleThetaYZ,GyroAnkleThetaXZ,GyroAnkleThetaYZ,MagnetometerAnkleThetaXZ,MagnetometerAnkleThetaYZ,AccelerationArmThetaXZ,AccelerationArmThetaYZ,GyroArmThetaXZ,GyroArmThetaYZ,MagnetometerArmThetaXZ,MagnetometerArmThetaYZ
0,-9.8184,0.009970999999999999,0.29563,0.0041863,0.0041863,2.1849,-9.6967,0.6307699999999999,0.1039,-0.8405299999999999,-0.68762,-0.37,-0.36327,0.29963,-8.6499,-4.5781,0.18775999999999998,-0.44902,-1.0103,0.034483,-2.35,-1.6102,-0.030899,0,1,0.05815990680112927,271.72562313367695,283.19881090806774,12.672140691637631,230.39682318714048,174.53482708864638,322.65635705996493,321.8420113562961,332.1148213837856,297.91066855327716,294.02496591924074,336.04999264769697,214.41630115607532,235.576471561013
1,-9.8489,0.52404,0.37348000000000003,0.0041863,0.016745,2.3876,-9.508,0.68389,0.08534299999999999,-0.83865,-0.6836899999999999,-0.19799,-0.18151,0.58298,-8.6275,-4.3198,0.023594999999999998,-0.44902,-1.0103,0.034483,-2.1632,-0.88254,0.32656999999999997,0,1,3.0435367895429515,273.73829344846536,284.6393014161534,14.061465636049805,230.59506048365012,175.49019938183432,343.5739169632641,342.0339940944266,333.4029008699629,296.5975270671386,294.02496591924074,336.04999264769697,338.0304660000724,293.50973692849294
2,-9.6602,0.18185,0.43742,0.016745,0.037676999999999995,2.4086,-9.5674,0.68113,0.08534299999999999,-0.83865,-0.6836899999999999,-0.37417,0.18723,0.43851,-8.5055,-4.2772,0.27571999999999997,-0.44902,-1.0103,0.034483,-1.6175,-0.16562000000000002,-0.030693,0,1,1.0773426762422662,272.8074089605111,284.66131066672045,14.096363341264361,230.59506048365012,175.49019938183432,17.993720236338817,321.8773413503757,333.3154128192849,296.7443739672323,294.02496591924074,336.04999264769697,185.84524329204982,264.05487331113693
3,-9.6507,0.21422,0.24033000000000002,0.07954,0.11722,2.1814,-9.4301,0.5503100000000001,0.08534299999999999,-0.83865,-0.6836899999999999,-0.017271,0.18366,0.57571,-8.6279,-4.3163,0.36751999999999996,-0.45686000000000004,-1.0082,0.025862,-1.0771,0.006945100000000001,-0.38261999999999996,0,1,1.2712118711738976,271.91066591182795,283.41826522581187,13.00337411788737,230.59506048365012,175.49019938183432,17.685991131438247,358.3629099105541,333.44324024800875,296.660430408743,294.41185770235745,335.6297015833258,179.65187595181342,250.4403749744015
4,-9.703,0.30389,0.31156,0.22186999999999998,0.20513,2.4173,-9.3889,0.7109800000000001,0.08534299999999999,-0.83865,-0.6836899999999999,-0.37439,-0.54671,0.44586000000000003,-8.7008,-4.1459,0.40729,-0.45686000000000004,-1.0082,0.025862,-0.53684,0.1759,-1.0955,0,1,1.7929469843819397,272.5682488385998,285.02243466774706,14.39850593811612,230.59506048365012,175.49019938183432,316.8007291328886,332.0451751934708,334.54670968166556,295.5846433652238,294.41185770235745,335.6297015833258,171.79539032189072,205.81972499251043
5,-9.6511,0.23260999999999998,0.42094,0.15489,0.13815,2.2639,-9.4493,0.6126699999999999,0.09833,-0.8424,-0.6895899999999999,-0.72234,0.3742,0.010705,-8.7247,-4.0449,0.5060899999999999,-0.45686000000000004,-1.0082,0.025862,0.18674000000000002,0.72044,-0.36448,0,1,1.3793598816246122,272.8528080979552,283.9392576528232,13.445983062035577,230.41327258553684,174.83891394139073,27.383330747544615,297.3954732404105,335.1635648251595,295.04337055238904,294.41185770235745,335.6297015833258,119.6160141098639,166.97714850205912
6,-9.6269,0.029439,0.5605399999999999,0.0041863,0.016745,2.174,-9.6574,0.60137,0.09833,-0.8424,-0.6895899999999999,-0.5503399999999999,0.55596,0.29405,-9.0864,-4.1474,0.26138,-0.42745,-1.0164,0.019397,0.35907,9.1239e-05,0.36819,0,1,0.17491333622498934,273.33694826094273,283.14667509144726,12.662776560213482,230.41327258553684,174.83891394139073,41.70114281297755,318.8128632707259,335.4750782772695,294.5767956497907,292.8303972041053,337.19439692420343,0.010164693690459496,44.281535131424455
7,-9.6422,0.29367,0.38433,-0.016745,-0.0083726,2.2023,-9.4397,0.58129,0.09833,-0.8424,-0.6895899999999999,-0.54584,1.1064,0.14415,-9.0143,-4.0052,0.47681999999999997,-0.42745,-1.0164,0.019397,0.53691,-0.16868,1.8175,0,1,1.743120224154083,272.8717434466368,283.5657025538272,13.108344386824044,230.41327258553684,174.83891394139073,62.96652680980496,333.9315132953209,336.0733321565008,294.10631106284234,292.8303972041053,337.19439692420343,354.9137159538809,16.39109776059678
8,-9.8484,-0.0017886,0.43141999999999997,-0.15070999999999998,-0.046049,2.2037,-9.6283,0.54062,0.076067,-0.83114,-0.69155,-0.90712,0.9265,0.15317999999999998,-9.0469,-4.0475,0.24554,-0.42745,-1.0164,0.019397,0.3484,-1.067,2.5447,0,1,359.9896042967908,272.5083225683871,283.260604676563,12.872061249070315,230.0683681800257,175.97570177069534,45.20286124137582,315.9916822958597,335.90455893020993,294.14255740366104,292.8303972041053,337.19439692420343,337.44066422535644,7.196190501447802
9,-9.7321,0.24326,0.28505,-0.59027,-0.38514,2.2135,-9.6887,0.43353,0.076067,-0.83114,-0.69155,-0.73095,0.55777,0.29764,-8.8318,-4.109,0.09663200000000001,-0.42745,-1.0164,0.019397,-0.19549,-1.5952,3.6222,0,1,1.4312326009640903,272.2051079905332,283.10518544507704,12.85660796265666,230.0683681800257,175.97570177069534,35.25001459320365,310.857301123558,335.0510807277733,294.95628941962605,292.8303972041053,337.19439692420343,336.26225012169704,357.17232663605137
